Facility and Room,Responsible Person,Work Phone,Emergency Phone,Last Review Date,Hazard Description,Chemical Name,Last Modified,SDS Ref,Chemical ID,Chemical Amount,Units,Surplus,Storage Codes,CAS,Catalog,Comment
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Irritant,SULFANILAMIDE,9/10/18,,80784,100,g,,,63-74-1,240346,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Irritant,TWEEN 20,9/10/18,,754683,100,ml,,,9005-64-5,W291501,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,No identified hazard at this time,20X SSC BUFFER,9/10/18,,2287644,1,l,,, ,9763,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,No identified hazard at this time,50X TAE ELECTROPHORESIS BUFFER,8/31/18,,2278431,2,l,,, , ,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,No identified hazard at this time,ALBUMIN BOVINE FRACTION V,9/10/18,,1419151,25,g,,,9048-46-8,160069,"made by research products international, not MP biomedicals
need to recheck label to make sure this is the right one"
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,No identified hazard at this time,AMPLITAQ GOLD LD,8/31/18,,1208826,1,ml,,, ,4338859,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,No identified hazard at this time,BROMOPHENOL BLUE,8/31/18,,1017562,5,g,,,115-39-9,B392-5,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,No identified hazard at this time,CARMINE,9/10/18,,1942531,25,g,,,1390-65-4,C579-25,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,No identified hazard at this time,L-GLUTAMIC ACID MONOSODIUM MONOHYDRATE,9/10/18,,1163425,250,g,,,4/3/06,G5917,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,No identified hazard at this time,"LYSOZYME, EGG WHITE",8/31/18,,1365042,1,g,,,12650-88-3,61193-0010,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,No identified hazard at this time,MAGNESIUM CHLORIDE HEXAHYDRATE,9/10/18,,1017575,500,g,,,7791-18-6,41341-5000,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,No identified hazard at this time,POTASSIUM CHLORIDE,9/10/18,,1017569,500,g,,,7447-40-7,BP366-1,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,No identified hazard at this time,R2A AGAR,8/31/18,,385697,500,g,,, ,218261,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,No identified hazard at this time,SODIUM CHLORIDE,9/10/18,,2278743,1,kg,,,7647-14-5,BP358-1,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,No identified hazard at this time,SODIUM PHOSPHATE DIBASIC ANHYDROUS,9/10/18,,1416868,500,g,,,7558-79-4,56814,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,No identified hazard at this time,"SPECTINOMYCIN READY MADE SOLUTION, 100 MG/ML IN DMSO/H2O, 1:1, 0.2 MUM FILTERED",9/10/18,,1402827,10,ml,,, ,S0692,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,No identified hazard at this time,TRIS AMINO USP/EP GRADE BDH CHEMICALS,9/10/18,,2275386,500,g,,,1185-53-1,BDH4500 SERIES,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,No identified hazard at this time,TRIS(HYDROXYMETHYL)AMINOMETHANE,9/10/18,,1683166,500,g,,,77-86-1,252859,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Other Health Hazards - Including Carcinogens,100% ETHYL ALCOHOL,8/31/18,,2290410,8,l,,,64-17-5,4355223,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Other Health Hazards - Including Carcinogens,16% PARAFORMALDEHYDE (FORMALDEHYDE) AQUEOUS SOLUTION,8/31/18,,2284054,100,ml,,,30525-89-4,15710,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Other Health Hazards - Including Carcinogens,AMPICILLIN,9/10/18,,131853,5,g,,,69-53-4,A9393,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Other Health Hazards - Including Carcinogens,CAFFEINE,9/10/18,,1366265,500,g,,,58-08-2,O1728-500,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Other Health Hazards - Including Carcinogens,DMSO,8/31/18,,2278630,500,ml,,,67-68-5,BP231-1,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Other Health Hazards - Including Carcinogens,NEOMYCIN SOLUTION,9/10/18,,159317,10,ml,,,1405-10-3,N1142,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Other Health Hazards - Including Carcinogens,"PARAFORMALDEHYDE POWDER, 95%",9/10/18,,1391875,100,g,,,30525-89-4,158127,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Other Health Hazards - Including Carcinogens,RIFAMPICIN,9/10/18,,14146,1,g,,,13292-46-1,R3501,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Other Health Hazards - Including Carcinogens,STREPTOMYCIN SULFATE,9/10/18,,1365874,50,g,,,3810-74-0,BP910-50,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Other Health Hazards - Including Carcinogens,SULFANILAMIDE,9/10/18,,80784,100,g,,,63-74-1,240346,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Sensitizer,16% PARAFORMALDEHYDE (FORMALDEHYDE) AQUEOUS SOLUTION,8/31/18,,2284054,100,ml,,,30525-89-4,15710,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Sensitizer,AMPICILLIN,9/10/18,,131853,5,g,,,69-53-4,A9393,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Sensitizer,NEOMYCIN SOLUTION,9/10/18,,159317,10,ml,,,1405-10-3,N1142,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Sensitizer,"PARAFORMALDEHYDE POWDER, 95%",9/10/18,,1391875,100,g,,,30525-89-4,158127,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Sensitizer,STREPTOMYCIN SULFATE,9/10/18,,1365874,50,g,,,3810-74-0,BP910-50,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Sensitizer,SULFANILAMIDE,9/10/18,,80784,100,g,,,63-74-1,240346,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Toxic,CAFFEINE,9/10/18,,1366265,500,g,,,58-08-2,O1728-500,
"BOTHELL BEARDSLEE, Room 274",JESSE R ZANEVELD,541-760-2411, ,1/27/21,Toxic,STREPTOMYCIN SULFATE,9/10/18,,1365874,50,g,,,3810-74-0,BP910-50,
